Px,Py,Pz,orientx,orienty,orientz,orientw,scalex,scaley,scalez,name,unreal_instance,asset_ID,Building_ID,lot_ID
32420.24609375,65.0,-31494.640625,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',0,-1,1
32325.326171875,65.0,-32142.923828125,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',1,-1,1
32230.408203125,65.0,-32791.203125,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',2,-1,1
32135.4921875,65.0,-33439.48828125,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',3,-1,1
32040.572265625,65.0,-34087.76953125,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',4,-1,1
31945.654296875,65.0,-34736.05078125,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',5,-1,1
31850.736328125,65.0,-35384.328125,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',6,-1,1
31755.8203125,65.0,-36032.609375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',7,-1,1
31660.900390625,65.0,-36680.89453125,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',8,-1,1
40320.48828125,65.0,-48756.9140625,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',9,-1,32
39693.71484375,65.0,-48756.9140625,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',10,-1,32
39066.94140625,65.0,-48756.91015625,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',11,-1,32
38440.171875,65.0,-48756.91015625,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',12,-1,32
37813.3984375,65.0,-48756.90625,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',13,-1,32
37186.625,65.0,-48756.90234375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,StaticMesh'/Game/Megascans/3D_Assets/Parking_Meter_00/ujpkaadfa_LOD0.ujpkaadfa_LOD0',14,-1,32
